iter	Logloss
0	0.6378734894
1	0.5806686737
2	0.5476199073
3	0.5205501976
4	0.4999308869
5	0.4821307715
6	0.4715513668
7	0.4612773114
8	0.4523915597
9	0.4409229536
10	0.4344136971
11	0.4309944709
12	0.4259925946
13	0.4208095348
14	0.4186159254
15	0.4155813081
16	0.4128585641
17	0.4105791361
18	0.4083449242
19	0.4052766575
20	0.4027988484
21	0.4015076717
22	0.4008734097
23	0.3994430468
24	0.3984788765
25	0.3966593438
26	0.3954090092
27	0.3946378024
28	0.3932547367
29	0.391425959
30	0.3896409532
31	0.3890909733
32	0.3880426628
33	0.3873602869
34	0.3864097289
35	0.386251162
36	0.3857673774
37	0.3854565162
38	0.38473982
39	0.3832316575
40	0.3824294466
41	0.3815428989
42	0.3811567587
43	0.3806621325
44	0.3805834797
45	0.3800070375
46	0.3796508846
47	0.3783919465
48	0.3783888895
49	0.377756206
50	0.3770064947
51	0.3762280693
52	0.3757258432
53	0.3755370689
54	0.3751177167
55	0.374564876
56	0.3739488245
57	0.3731294524
58	0.372919449
59	0.3724996171
60	0.3720567137
61	0.3720496102
62	0.3719661388
63	0.3715492631
64	0.3711505469
65	0.370708092
66	0.370138932
67	0.3692431478
68	0.3689510192
69	0.3684299376
70	0.3681700106
71	0.3677389291
72	0.367169871
73	0.3667622285
74	0.3664554038
75	0.3664553463
76	0.3664427758
77	0.3660593441
78	0.3658478516
79	0.3654401831
80	0.3649233984
81	0.3642863621
82	0.3635676031
83	0.3630575659
84	0.362866755
85	0.3628394706
86	0.3624030058
87	0.3622255908
88	0.3611302691
89	0.3606511903
90	0.3603765937
91	0.3596788254
92	0.3590803882
93	0.3584030289
94	0.3581032914
95	0.3572301356
96	0.3565883341
97	0.3562239698
98	0.3555219827
99	0.3542033216
100	0.3538992225
101	0.3534837161
102	0.3529364003
103	0.352517456
104	0.3522371982
105	0.3519829829
106	0.3511981635
107	0.3510052019
108	0.3506576773
109	0.3502833233
110	0.3500009261
111	0.3492479556
112	0.3488820599
113	0.3485915117
114	0.3477933255
115	0.3472852378
116	0.3468962234
117	0.3464937582
118	0.3463436046
119	0.3456522349
120	0.3447187826
121	0.3438072711
122	0.343403288
123	0.342775605
124	0.3421250656
125	0.3415490931
126	0.3412643486
127	0.3406812792
128	0.3403235433
129	0.3398267285
130	0.3388513839
131	0.3383005021
132	0.3372676652
133	0.3368164223
134	0.3363668642
135	0.3351647919
136	0.3348414849
137	0.3341750326
138	0.3336754322
139	0.3333440833
140	0.3329513389
141	0.3316478925
142	0.3316038714
143	0.3311330829
144	0.3309772088
145	0.3301032734
146	0.3295302127
147	0.32877338
148	0.3281895444
149	0.3276327643
150	0.3271357276
151	0.3268737188
152	0.3265300801
153	0.3261055946
154	0.3256097979
155	0.3249393008
156	0.3243725276
157	0.323996918
158	0.3238363541
159	0.3231849918
160	0.3222546961
161	0.3217562429
162	0.3216376524
163	0.3214072848
164	0.3207051778
165	0.3206525756
166	0.3200561636
167	0.3196313126
168	0.3193027731
169	0.3187095813
170	0.3184376158
171	0.3178218339
172	0.3175813071
173	0.316816539
174	0.316245685
175	0.316128716
176	0.3156771488
177	0.3151360109
178	0.315017403
179	0.3144185802
180	0.313918529
181	0.3136710569
182	0.3134178444
183	0.3133360448
184	0.3131711387
185	0.3124223733
186	0.3114201952
187	0.3108179382
188	0.3105338964
189	0.3101963617
190	0.3099520475
191	0.3098183229
192	0.3090058679
193	0.3088322813
194	0.3085114711
195	0.308223475
196	0.3077298936
197	0.307525167
198	0.3070939735
199	0.3069912218
200	0.3069361736
201	0.3067608291
202	0.3062099344
203	0.3055328844
204	0.305366305
205	0.3048569425
206	0.3046370429
207	0.304334584
208	0.3038720392
209	0.3035038257
210	0.3032944872
211	0.3031448094
212	0.3028089421
213	0.3026182936
214	0.3021708162
215	0.3019593519
216	0.301711408
217	0.3015033979
218	0.3012381925
219	0.3008993819
220	0.3004382469
221	0.3000575166
222	0.2999320757
223	0.299835443
224	0.2993394401
225	0.2987974299
226	0.2986177994
227	0.2984624979
228	0.2981197269
229	0.2978851721
230	0.2971332254
231	0.2970656857
232	0.2966781074
233	0.2965006363
234	0.2961784172
235	0.2958313994
236	0.2956202548
237	0.2953599612
238	0.2950424921
239	0.2939692483
240	0.2935817932
241	0.293120442
242	0.2922147912
243	0.2919507717
244	0.2914352291
245	0.2910782381
246	0.2907350379
247	0.2900543386
248	0.2894316609
249	0.2889729885
250	0.2882993418
251	0.2876883876
252	0.2875434354
253	0.2869114208
254	0.2861819545
255	0.2858569251
256	0.285420712
257	0.2847292007
258	0.2840670624
259	0.2838407291
260	0.2832704004
261	0.2832227905
262	0.2830727826
263	0.2829239117
264	0.2825411552
265	0.2823201978
266	0.2821027731
267	0.2817872261
268	0.2814348109
269	0.281067864
270	0.280837499
271	0.2804490318
272	0.279627219
273	0.2791096739
274	0.2787282318
275	0.2784301801
276	0.2781848758
277	0.2772882104
278	0.27712293
279	0.276958627
280	0.2767587693
281	0.2763520246
282	0.2759911622
283	0.2755923553
284	0.275306608
285	0.2748530588
286	0.2743161684
287	0.2742201125
288	0.273900546
289	0.2737476779
290	0.2732808593
291	0.2731277393
292	0.2729139295
293	0.2726747763
294	0.2724293562
295	0.2720276588
296	0.2718296868
297	0.2714993549
298	0.2712096288
299	0.2710058886
