iter	Passed	Remaining
0	13	3894
1	52	7866
2	82	8198
3	114	8472
4	147	8719
5	182	8918
6	211	8832
7	246	8986
8	274	8877
9	302	8778
10	325	8562
11	346	8308
12	376	8321
13	406	8305
14	422	8019
15	453	8048
16	489	8143
17	524	8222
18	579	8569
19	627	8781
20	678	9011
21	717	9060
22	750	9035
23	783	9009
24	824	9069
25	859	9053
26	894	9043
27	943	9169
28	982	9177
29	1014	9132
30	1045	9072
31	1078	9035
32	1117	9040
33	1149	8997
34	1183	8957
35	1201	8808
36	1232	8761
37	1271	8766
38	1308	8754
39	1340	8710
40	1381	8728
41	1414	8689
42	1450	8666
43	1480	8615
44	1517	8598
45	1551	8567
46	1582	8516
47	1616	8485
48	1629	8346
49	1675	8377
50	1716	8379
51	1748	8340
52	1797	8377
53	1832	8347
54	1870	8331
55	1905	8304
56	1946	8296
57	1982	8271
58	2016	8235
59	2047	8190
60	2078	8142
61	2100	8064
62	2129	8012
63	2167	7991
64	2228	8055
65	2259	8011
66	2292	7970
67	2329	7948
68	2361	7906
69	2400	7886
70	2437	7862
71	2477	7845
72	2516	7826
73	2547	7780
74	2594	7782
75	2601	7667
76	2634	7629
77	2667	7591
78	2699	7551
79	2739	7533
80	2771	7494
81	2804	7455
82	2836	7414
83	2884	7416
84	2919	7385
85	2936	7306
86	2966	7263
87	2997	7220
88	3028	7181
89	3061	7142
90	3093	7104
91	3136	7090
92	3176	7070
93	3208	7032
94	3242	6996
95	3276	6962
96	3311	6930
97	3345	6895
98	3377	6857
99	3410	6820
100	3443	6784
101	3478	6752
102	3510	6713
103	3541	6674
104	3571	6633
105	3603	6594
106	3634	6555
107	3670	6525
108	3709	6500
109	3741	6461
110	3774	6427
111	3807	6390
112	3839	6354
113	3880	6331
114	3918	6303
115	3951	6268
116	3984	6231
117	4018	6197
118	4049	6158
119	4081	6121
120	4112	6084
121	4143	6045
122	4177	6012
123	4213	5979
124	4244	5942
125	4280	5911
126	4314	5877
127	4346	5840
128	4379	5805
129	4413	5770
130	4444	5733
131	4476	5696
132	4508	5661
133	4556	5644
134	4588	5607
135	4621	5572
136	4653	5537
137	4687	5503
138	4725	5473
139	4772	5454
140	4809	5423
141	4860	5407
142	4910	5391
143	4947	5359
144	4980	5323
145	5017	5292
146	5052	5258
147	5083	5221
148	5116	5185
149	5151	5151
150	5182	5113
151	5214	5076
152	5247	5041
153	5278	5004
154	5314	4971
155	5351	4939
156	5397	4915
157	5427	4878
158	5472	4853
159	5507	4819
160	5544	4786
161	5578	4752
162	5612	4717
163	5648	4684
164	5696	4660
165	5736	4630
166	5779	4602
167	5813	4567
168	5851	4536
169	5888	4503
170	5932	4475
171	5962	4436
172	5995	4401
173	6026	4363
174	6057	4326
175	6089	4290
176	6124	4255
177	6157	4220
178	6188	4183
179	6222	4148
180	6258	4114
181	6299	4084
182	6338	4052
183	6372	4017
184	6408	3983
185	6441	3947
186	6471	3910
187	6505	3875
188	6544	3843
189	6574	3806
190	6605	3769
191	6641	3736
192	6676	3701
193	6711	3666
194	6743	3631
195	6779	3597
196	6813	3562
197	6847	3527
198	6884	3494
199	6916	3458
200	6947	3422
201	6986	3389
202	7031	3359
203	7067	3325
204	7107	3293
205	7138	3257
206	7171	3221
207	7207	3188
208	7239	3151
209	7270	3116
210	7306	3081
211	7338	3046
212	7378	3013
213	7410	2977
214	7446	2944
215	7480	2909
216	7516	2874
217	7599	2858
218	7641	2826
219	7683	2793
220	7720	2759
221	7758	2726
222	7795	2691
223	7827	2655
224	7866	2622
225	7906	2588
226	7937	2552
227	7972	2517
228	8011	2483
229	8045	2448
230	8077	2412
231	8109	2377
232	8142	2341
233	8173	2305
234	8207	2270
235	8250	2237
236	8281	2201
237	8314	2166
238	8354	2132
239	8384	2096
240	8419	2061
241	8462	2028
242	8497	1993
243	8531	1958
244	8568	1923
245	8600	1887
246	8633	1852
247	8666	1817
248	8700	1781
249	8730	1746
250	8761	1710
251	8794	1675
252	8829	1640
253	8867	1605
254	8908	1572
255	8939	1536
256	8973	1501
257	9005	1465
258	9038	1430
259	9071	1395
260	9107	1360
261	9138	1325
262	9185	1292
263	9225	1258
264	9265	1223
265	9297	1188
266	9337	1154
267	9369	1118
268	9400	1083
269	9432	1048
270	9466	1012
271	9500	977
272	9531	942
273	9563	907
274	9598	872
275	9635	837
276	9669	802
277	9701	767
278	9740	733
279	9773	698
280	9835	665
281	9872	630
282	9911	595
283	9947	560
284	9981	525
285	10014	490
286	10050	455
287	10145	422
288	10201	388
289	10242	353
290	10279	317
291	10314	282
292	10349	247
293	10386	211
294	10422	176
295	10454	141
296	10500	106
297	10537	70
298	10574	35
299	10620	0
