,year,Price,kms_driven,fuel_type,house
0,2007,800.0,45000,Petrol,Hyundai
1,2006,4250.0,40,Diesel,Mahindra
3,2014,3250.0,28000,Petrol,Hyundai
4,2014,5750.0,36000,Diesel,Ford
6,2012,1750.0,41000,Diesel,Ford
7,2013,1900.0,25000,Petrol,Hyundai
8,2016,8300.0,24530,Diesel,Ford
9,2015,2500.0,60000,Petrol,Maruti
10,2010,1820.0,60000,Petrol,Skoda
11,2015,3150.0,30000,Petrol,Maruti
12,2014,4150.0,32000,Petrol,Hyundai
13,2015,3200.0,48660,Diesel,Mahindra
14,2007,800.0,45000,Petrol,Hyundai
15,2006,4250.0,40,Diesel,Mahindra
16,2017,10000.0,4000,Petrol,Audi
17,2014,5000.0,16934,Diesel,Audi
18,2016,3500.0,43000,Diesel,Mahindra
19,2014,1600.0,35550,Petrol,Maruti
20,2016,3500.0,43000,Diesel,Mahindra
21,2016,3100.0,39522,Diesel,Mahindra
22,2015,750.0,39000,Petrol,Maruti
23,2012,1000.0,55000,Petrol,Hyundai
24,2012,1000.0,55000,Petrol,Hyundai
25,2012,1000.0,55000,Petrol,Hyundai
26,2017,1900.0,72000,Petrol,Maruti
27,2016,2900.0,15975,Diesel,Maruti
28,2008,950.0,70000,Petrol,Maruti
29,2017,1800.0,23452,Diesel,Mahindra
30,2014,3850.0,35522,Diesel,Maruti
31,2015,2500.0,48508,Diesel,Mahindra
32,2017,1800.0,15487,Petrol,Maruti
33,2013,1050.0,39000,Petrol,Maruti
34,2013,1050.0,39000,Petrol,Maruti
35,2012,6500.0,82000,Diesel,Toyota
36,2018,6899.99,20000,Diesel,Renault
37,2012,4480.0,68000,Diesel,Skoda
38,2017,5490.0,32000,Diesel,Maruti
39,2012,5010.0,38000,Diesel,Renault
40,2013,4899.99,27000,Diesel,Renault
41,2011,2800.0,33000,Petrol,Honda
42,2015,2500.0,60000,Petrol,Maruti
43,2013,3499.99,46000,Diesel,Maruti
44,2013,2849.99,46000,Diesel,Honda
45,2015,3450.0,36000,Diesel,Honda
46,2015,4999.99,55000,Petrol,Honda
47,2017,2350.0,16000,Petrol,Datsun
48,2010,2499.99,36000,Petrol,Maruti
49,2015,14750.0,47000,Diesel,Mitsubishi
50,2017,1800.0,23452,Diesel,Mahindra
51,2014,3850.0,35522,Diesel,Maruti
52,2015,2500.0,48508,Diesel,Mahindra
53,2017,1800.0,15487,Petrol,Maruti
54,2013,1050.0,39000,Petrol,Maruti
55,2013,1050.0,39000,Petrol,Maruti
56,2015,3950.0,35000,Diesel,Mahindra
57,2017,2200.0,30874,Petrol,Maruti
58,2017,1700.0,15000,Diesel,Honda
59,2013,850.0,29685,Petrol,Maruti
60,2012,1750.0,41000,Diesel,Ford
61,2013,1900.0,25000,Petrol,Hyundai
62,2017,2000.0,130000,Diesel,Tata
63,2016,8300.0,24530,Diesel,Ford
64,2017,2000.0,130000,Diesel,Tata
65,2012,5700.0,19000,Diesel,Mahindra
66,2014,3150.0,60000,Petrol,Volkswagen
67,2010,1820.0,60000,Petrol,Skoda
68,2015,3150.0,30000,Petrol,Maruti
70,2010,1100.0,41000,Petrol,Chevrolet
71,2012,5010.0,35000,Diesel,Renault
72,2015,4489.99,54000,Petrol,Honda
73,2013,18911.11,13000,Petrol,Mini
74,2017,2350.0,16000,Petrol,Datsun
75,2011,1595.0,38200,Diesel,Skoda
76,2015,3449.99,22000,Petrol,Honda
77,2015,3449.99,22000,Petrol,Honda
78,2014,4499.99,50000,Diesel,Renault
79,2013,18911.11,13500,Petrol,Mini
80,2015,8650.0,30000,Diesel,Mahindra
81,2014,6990.0,50000,Diesel,Mahindra
82,2013,3750.0,20000,Diesel,Mahindra
83,2017,4899.99,39000,Petrol,Ford
84,2012,2249.99,30000,Petrol,Honda
86,2019,12000.0,3600,Diesel,Volkswagen
87,2009,1950.0,32000,Petrol,Hyundai
88,2010,3510.0,38000,Diesel,Toyota
89,2008,1600.0,45000,Petrol,Hyundai
90,2009,2400.0,35000,Petrol,Toyota
91,2005,900.0,50000,Petrol,Honda
92,2014,4150.0,32000,Petrol,Hyundai
93,2011,1550.0,45863,Diesel,Skoda
94,2011,6000.0,60500,Petrol,BMW
95,2011,1895.0,12500,Petrol,Maruti
96,2013,3500.0,60000,Diesel,Toyota
97,2012,2100.0,35000,Diesel,Ford
98,2014,3900.0,35000,Petrol,Maruti
99,2012,1350.0,45000,Diesel,Chevrolet
100,2009,16000.0,35000,Petrol,BMW
101,2013,7010.0,38000,Diesel,Mahindra
102,2014,2650.0,18000,Petrol,Hyundai
103,2015,5250.0,35000,Diesel,Hyundai
104,2013,3720.0,13349,Petrol,Maruti
105,2016,6350.0,29000,Petrol,Maruti
106,2014,5500.0,44000,Diesel,Ford
107,2016,5750.0,29000,Petrol,Maruti
108,2013,4850.0,42000,Diesel,Maruti
109,2012,1550.0,14000,Petrol,Maruti
110,2014,3450.0,49000,Diesel,Hyundai
111,2014,3250.0,42000,Petrol,Honda
112,2012,3295.0,36200,Diesel,Hyundai
113,2014,1950.0,50000,Diesel,Ford
114,2015,2511.11,55000,Petrol,Maruti
115,2014,5699.99,45000,Petrol,Maruti
116,2007,699.99,51000,Petrol,Maruti
117,2014,2999.99,19000,Petrol,Maruti
118,2009,2200.0,46000,Petrol,Maruti
119,2013,3999.99,33000,Diesel,Maruti
120,2013,3720.0,13349,Petrol,Maruti
121,2015,4500.0,104000,Diesel,Maruti
122,2014,2700.0,55000,Petrol,Toyota
123,2011,3500.0,33333,Diesel,Hyundai
124,2012,1584.0,33600,Petrol,Chevrolet
125,2017,3500.0,5600,Petrol,Maruti
126,2011,1790.0,41000,Petrol,Nissan
127,2007,1250.0,70000,Petrol,Maruti
128,2018,2000.0,7500,Petrol,Maruti
129,2013,2990.0,45000,Diesel,Honda
130,2015,2200.0,38000,Petrol,Maruti
131,2015,1500.0,30000,Petrol,Chevrolet
133,2010,2850.0,35000,Petrol,Honda
134,2016,8300.0,24330,Diesel,Ford
135,2009,2100.0,65480,Petrol,Hyundai
136,2013,3400.0,41000,Petrol,Maruti
137,2006,900.0,20000,Petrol,Tata
139,2000,700.0,200000,Diesel,Hindustan
140,2010,2899.99,70000,Petrol,Toyota
141,2012,3499.99,59000,Petrol,Toyota
142,2012,8499.99,99000,Diesel,Toyota
143,2014,7499.99,46000,Diesel,Volkswagen
144,2015,3999.99,2800,Petrol,Volkswagen
145,2014,2749.99,32000,Petrol,Volkswagen
146,2015,9849.99,22000,Diesel,Mahindra
147,2014,4499.99,50000,Diesel,Renault
148,2015,3449.99,22000,Petrol,Honda
149,2012,2249.99,45000,Petrol,Nissan
150,2018,5999.99,21000,Petrol,Hyundai
151,2016,2449.99,11000,Petrol,Renault
152,2013,3999.99,41000,Diesel,Renault
153,2017,4899.99,39000,Petrol,Ford
154,2014,4749.99,50000,Diesel,Renault
155,2011,4999.99,66000,Diesel,Mahindra
156,2018,3100.0,3000,Petrol,Maruti
157,2010,850.0,45000,Petrol,Chevrolet
158,2016,2450.0,7000,Petrol,Datsun
159,2010,1895.0,38500,Diesel,Maruti
160,2012,1695.0,37200,Diesel,Fiat
161,2010,1595.0,43200,Diesel,Maruti
162,2013,2750.0,24800,Petrol,Toyota
163,2014,3700.0,60000,Diesel,Hyundai
164,2010,1680.0,45872,Petrol,Hyundai
165,2011,1500.0,40000,Diesel,Chevrolet
166,2011,1450.0,45000,Diesel,Chevrolet
167,2012,985.0,38000,Diesel,Chevrolet
168,2014,6990.0,50000,Diesel,Mahindra
169,2011,850.0,11400,Diesel,Tata
170,2015,5750.0,42000,Petrol,Toyota
171,2014,5490.0,39000,Petrol,Honda
172,2011,2090.0,47000,Diesel,Maruti
173,2013,1850.0,27000,Petrol,Hyundai
174,2015,9000.0,97200,Diesel,Mahindra
175,2014,6999.99,52000,Diesel,Mahindra
176,2012,2249.99,30000,Petrol,Honda
177,2011,2749.99,55000,Diesel,Ford
178,2013,2849.99,46000,Diesel,Honda
179,2015,5999.99,30000,Diesel,Honda
180,2012,1999.99,44000,Petrol,Maruti
181,2014,5449.99,45000,Diesel,Honda
182,2009,1990.0,31000,Petrol,Hyundai
183,2016,3200.0,175430,Diesel,Tata
